56602,21000000,309381,32640
39900,21000000,47462,3001
32137,21000000,1455444,140665
43756,21000000,196567,17798
39368,21000000,77922,6476
47875,21000000,78288,7814
40782,21000000,130779,10475
47994,21000000,87071,6662
40693,21000000,48844,4150
49025,21000000,81251,5675
53500,21000000,61509,7034
44397,21000000,48494,4040
38208,21000000,46053,5021
67153,21000000,295754,36953
47505,21000000,922578,89377
45668,21000000,38478,2924
40092,21000000,50660,3508
46976,21000000,53992,5902
45955,21000000,58937,5180
45127,21000000,47625,5629
43104,21000000,4712,430
40504,21000000,63100,5188
45292,21000000,117635,8342
42437,21000000,2636735,249893
44097,21000000,26957,1758
50186,21000000,64717,5945
49326,21000000,71849,5550
50247,21000000,749600,83700
40160,21000000,49642,5914
91162,21000000,1361350,220729
65833,21000000,1644518,247420
45291,21000000,212652,18407
45957,21000000,232500,20470
53394,21000000,468463,46405
52367,21000000,109561,11802
65648,21000000,377647,48443
43870,21000000,41582,3295
43687,21000000,120146,10748
43563,21000000,60636,4633
87248,21000000,99042,18026
53124,21000000,2339150,285880
57059,21000000,160266,16035
69436,21000000,474558,70247
80765,21000000,326037,51764
42609,21000000,226249,24026
52283,21000000,31330,2324
49610,21000000,18186,1511
45986,21000000,34833,3107
45951,21000000,111007,8800
43834,21000000,97631,8325
83360,21000000,1501587,229578
46161,21000000,74877,8419
51675,21000000,49453,3714
49639,21000000,104926,6729
54060,21000000,180143,19973
50807,21000000,64688,8399
48555,21000000,62230,4856
51901,21000000,91446,8628
76728,21000000,976396,140427
50192,21000000,41013,3499
44776,21000000,25048,1612
56602,3000000,309381,32634
39900,3000000,47462,2918
32137,3000000,1455444,152223
43756,3000000,196567,17681
39368,3000000,77922,6941
47875,3000000,78288,7557
40782,3000000,130779,10359
47994,3000000,87071,7276
40693,3000000,48844,4217
49025,3000000,81251,5738
53500,3000000,61509,6589
44397,3000000,48494,4221
38208,3000000,46053,4771
67153,3000000,295754,37794
47505,3000000,922578,89151
45668,3000000,38478,2772
40092,3000000,50660,3564
46976,3000000,53992,5511
45955,3000000,58937,5496
45127,3000000,47625,5449
43104,3000000,4712,431
40504,3000000,63100,4862
45292,3000000,117635,8743
42437,3000000,2636735,279015
44097,3000000,26957,1901
50186,3000000,64717,5892
49326,3000000,71849,5829
50247,3000000,749600,81606
40160,3000000,49642,5471
91162,3000000,1361350,241856
65833,3000000,1644518,285165
45291,3000000,212652,18354
45957,3000000,232500,21017
53394,3000000,468463,46833
52367,3000000,109561,11316
65648,3000000,377647,50383
43870,3000000,41582,3373
