22137.369141, 32640.000000
3282.237549, 3001.000000
109753.289062, 140665.000000
8893.775391, 17798.000000
3851.571777, 6476.000000
5196.237793, 7814.000000
5521.362793, 10475.000000
5490.899414, 6662.000000
3402.736816, 4150.000000
5499.208984, 5675.000000
5711.165527, 7034.000000
3867.960449, 4040.000000
3066.627686, 5021.000000
26218.753906, 36953.000000
72932.039062, 89377.007812
3813.478516, 2924.000000
3366.994385, 3508.000000
4370.844727, 5902.000000
4342.107910, 5180.000000
3947.916016, 5628.999512
2863.430420, 429.999969
3674.847656, 5188.000000
5976.361328, 8342.000000
238643.578125, 249893.000000
3374.329590, 1758.000000
5198.321289, 5945.000000
5260.975098, 5550.000488
61996.296875, 83700.000000
3355.020264, 5914.000488
230955.359375, 220729.000000
254313.828125, 247420.000000
10203.712891, 18407.000000
11582.043945, 20470.000000
36459.515625, 46405.000000
7237.723633, 11802.000000
33660.636719, 48442.996094
3646.501221, 3295.000000
5738.802246, 10748.000000
4033.714600, 4633.000000
18183.173828, 18026.000000
285123.375000, 285880.000000
11074.376953, 16035.000000
45587.734375, 70247.000000
36214.183594, 51764.000000
10091.416016, 24026.000000
4599.909668, 2324.000000
3885.135986, 1511.000000
3774.704102, 3107.000000
5882.419434, 8800.000000
5058.230957, 8325.000000
212369.953125, 229578.000000
4800.868164, 8419.000000
5005.859375, 3714.000000
6437.060547, 6729.000000
11236.743164, 19973.000000
5308.996582, 8399.000000
4844.246094, 4856.000000
6428.320312, 8628.000000
100572.757812, 140427.000000
4529.076172, 3499.000000
3417.191650, 1612.000000
21659.171875, 32634.000000
3168.126465, 2918.000000
105566.484375, 152223.000000
8839.421875, 17681.000000
3741.086426, 6941.000000
5071.794922, 7557.000000
5436.885254, 10359.000000
5368.515137, 7276.000000
3289.270020, 4217.000000
5371.863770, 5738.000000
5920.796875, 6589.000000
3805.409424, 4221.000000
2950.088379, 4771.000000
25163.783203, 37794.000000
67993.585938, 89151.000000
4104.198242, 2772.000000
3250.291016, 3564.000000
4318.202148, 5511.000000
4231.612305, 5496.000000
3928.690430, 5449.000000
3212.677979, 431.000000
3558.011475, 4862.000000
5874.997559, 8743.000000
228923.687500, 279015.000000
3751.359863, 1901.000000
5105.746582, 5892.000000
5135.155273, 5829.000488
58501.601562, 81606.000000
3239.174316, 5471.000000
199254.312500, 241855.984375
223216.015625, 285165.000000
10144.706055, 18354.000000
11519.840820, 21017.000000
35317.585938, 46833.000000
7099.621094, 11316.000000
32119.019531, 50383.000000
3698.160156, 3373.000244
5642.958984, 10510.000000
3915.047852, 4714.000000
19694.402344, 17940.000000
268574.812500, 313009.000000
10873.244141, 16396.000000
42556.128906, 76449.000000
33435.097656, 51974.003906
10059.074219, 22795.998047
5154.868164, 2278.000000
4358.849609, 1403.000000
4156.070801, 3175.000000
5776.028809, 9087.000000
4950.958008, 8467.000000
183253.406250, 250825.015625
4679.764160, 8376.000000
5474.419434, 4072.000000
6313.838867, 6785.000000
11073.734375, 19969.000000
5231.387695, 7782.000000
4743.820312, 4881.000000
6290.205078, 8789.000000
95918.539062, 149214.000000
5032.292480, 3439.999756
3818.114258, 1527.000122
21567.076172, 25971.000000
3663.090820, 2360.000000
105502.468750, 126570.000000
9540.384766, 14683.000000
4299.798828, 5306.000488
5788.857422, 6675.999512
6154.561523, 9140.000000
6114.665527, 6182.000000
3797.579346, 3368.000244
6122.935547, 4985.000000
6352.744141, 5657.000000
4315.349121, 3429.999756
3422.260010, 4140.000000
25071.302734, 32022.000000
67941.523438, 76433.000000
4253.867188, 2430.000000
3757.860596, 2963.000000
4873.814941, 4636.000000
4842.522949, 4424.000000
4404.079590, 4720.000000
3192.590820, 350.000031
4101.861328, 4240.000000
6653.137695, 6731.000488
229765.828125, 229356.984375
3764.202148, 1591.000000
5789.231445, 4729.000000
5859.273926, 4930.000000
58437.316406, 64453.000000
3744.423584, 4625.000000
199834.140625, 197959.000000
223607.593750, 222475.984375
10222.644531, 15793.000000
11457.174805, 17566.000000
35215.812500, 40236.000000
8031.146484, 9325.000000
32022.773438, 42092.000000
4068.461670, 2801.000000
6392.401855, 8778.000000
4500.634277, 4101.000000
19609.302734, 15192.000000
269813.906250, 253922.000000
12182.978516, 13144.000977
42470.804688, 64510.996094
33348.746094, 42409.000000
10001.210938, 17827.000000
5124.515625, 1799.000000
4331.499512, 1177.000000
4210.439453, 2712.000000
6548.888672, 7086.000000
5639.203125, 6829.000000
184170.953125, 202379.984375
5352.026855, 7515.000000
5574.954590, 3558.000000
7156.023438, 5567.000000
12363.545898, 17631.000000
5911.110840, 8187.000000
5398.328125, 4033.000000
7143.940918, 7071.000000
95785.562500, 121710.000000
5047.399414, 2843.000000
3811.803467, 1317.000000
23725.884766, 26240.000000
3639.489014, 2416.000000
105439.218750, 127968.992188
9791.319336, 14955.000000
4272.066406, 5251.000000
5752.331543, 6809.000000
6115.550293, 9256.000000
6076.252441, 6236.999512
3773.116943, 3528.000000
6084.528809, 4978.000000
6313.265625, 5514.000000
4287.666992, 3419.000000
3400.223877, 4142.000000
27867.957031, 31223.000000
67889.781250, 78277.000000
4226.629883, 2284.000000
3733.640625, 3189.000000
4842.748047, 4621.000000
4811.609863, 4519.000000
4375.883301, 4585.000000
3172.187256, 364.000031
4075.424316, 4424.000000
6611.499512, 6964.000000
230597.515625, 231655.015625
3740.065186, 1551.000000
5752.811035, 4695.000000
5822.412598, 5045.000000
58372.855469, 68016.000000
3720.310303, 4844.000000
200403.015625, 202362.015625
223988.078125, 226194.000000
11202.487305, 16134.000977
